name,state_id,zips
Anchorage,2,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599
Fairbanks,2,99701 99703 99707
Juneau,2,99824 99801 99802 99803 99811 99812 99821 99850
Badger,2,99705 99711
Knik-Fairview,2,99654
College,2,99709 99775
Wasilla,2,99654
Ketchikan,2,99901 99950
Tanaina,2,99654
Kodiak,2,99615 99619
Kalifornsky,2,99610 99611 99669
Sitka,2,99835
Meadow Lakes,2,99688 99654
Kenai,2,99611
Steele Creek,2,99712 99710
Palmer,2,99645
Soldotna,2,99669
Gateway,2,99645 99654
Fishhook,2,99645 99654
Bethel,2,99559
Chena Ridge,2,99709
Homer,2,99603
Farmers Loop,2,99712
Sterling,2,99672 99669
Utqiagvik,2,99723
Unalaska,2,99692 99685
Nikiski,2,99611 99635
Butte,2,99645
Nome,2,99762
Valdez,2,99686
Goldstream,2,99709 99708 99725
Kotzebue,2,99752
Eielson AFB,2,99702
Petersburg,2,99833
Seward,2,99664
Ridgeway,2,99611 99669
Big Lake,2,99652
Wrangell,2,99903 99929
Deltana,2,99737 99731
Houston,2,99694 99652
Dillingham,2,99576
Cordova,2,99574
Anchor Point,2,99556
North Pole,2,99705
Fritz Creek,2,99603
Willow,2,99688
Haines,2,99827
Prudhoe Bay,2,99519 99734
Metlakatla,2,99926
Lazy Mountain,2,99645
Ester,2,99709
Kodiak Station,2,99615
Sutton-Alpine,2,99674
Funny River,2,99669
Tok,2,99780
Point MacKenzie,2,99654
Craig,2,99921
Diamond Ridge,2,99603
Talkeetna,2,99676
Hooper Bay,2,99604
Cohoe,2,99610 99568
Bear Creek,2,99664
Farm Loop,2,99645
Chevak,2,99563
Susitna North,2,99688 99676
Sand Point,2,99661
Skagway,2,99840
Akutan,2,99553
Salcha,2,99714
King Cove,2,99612
Salamatof,2,99611
Buffalo Soapstone,2,99645
Healy,2,99755 99743
Delta Junction,2,99737
Womens Bay,2,99615
Mountain Village,2,99632
Denali Park,2,99755
Knik River,2,99645
Togiak,2,99678
Selawik,2,99770
Ninilchik,2,99639
Emmonak,2,99581
Moose Creek,2,99705
Hoonah,2,99829
Klawock,2,99925
Alakanuk,2,99554
Kwethluk,2,99621
Kasilof,2,99610
Point Hope,2,99766
Quinhagak,2,99655
Savoonga,2,99769
Gambell,2,99742
Unalakleet,2,99684
Noorvik,2,99763
Tuntutuliak,2,99680
Toksook Bay,2,99637
Two Rivers,2,99712
Yakutat,2,99689
Kotlik,2,99620
Pilot Station,2,99650
Pleasant Valley,2,99712 99716
Shishmaref,2,99772
Happy Valley,2,99556 99639
Wainwright,2,99782
Stebbins,2,99671
Akiachak,2,99551
St. Mary's,2,99658
Big Delta,2,99737
Aniak,2,99557
Kake,2,99830
Kasigluk,2,99609
Scammon Bay,2,99662
Fort Yukon,2,99740
Nunapitchuk,2,99641
Fox River,2,99603
Kipnuk,2,99614
New Stuyahok,2,99636
South Van Horn,2,99709 99701
Kachemak,2,99603
St. Paul,2,99660
Cooper Landing,2,99572
Chefornak,2,99561
Naknek,2,99633
Thorne Bay,2,99919
Marshall,2,99585
Angoon,2,99820
Galena,2,99741
Fox,2,99712
Gustavus,2,99826
Manokotak,2,99628
Kongiganak,2,99559
Nuiqsut,2,99789
Buckland,2,99727
Noatak,2,99761
St. Michael,2,99659
Glennallen,2,99588
Napaskiak,2,99559
Brevig Mission,2,99785
Tununak,2,99681
Kwigillingok,2,99622
Tyonek,2,99682
Akiak,2,99552
Saxman,2,99901
Hydaburg,2,99922
Kivalina,2,99750
Tazlina,2,99588 99573
Napakiak,2,99634
Koyuk,2,99753
King Salmon,2,99613
Trapper Creek,2,99683
Nenana,2,99760
Russian Mission,2,99657
Anaktuvuk Pass,2,99721
Elim,2,99739
Anderson,2,99704 99760 99744
Kiana,2,99749
Adak,2,99546
Tuluksak,2,99679
Nightmute,2,99690
McGrath,2,99627
Eek,2,99578
Newtok,2,99559
Moose Pass,2,99631
Lower Kalskag,2,99626
Goodnews Bay,2,99589
Seldovia,2,99663
Mentasta Lake,2,99780 99586
Shungnak,2,99773
Ambler,2,99786
Shaktoolik,2,99771
Huslia,2,99746
Kaktovik,2,99747
Tanana,2,99777
Atqasuk,2,99791
